group,n_images,ahash_mean_hamming,ahash_sd,dhash_mean_hamming,dhash_sd,palette_cosine_mean,palette_cosine_sd,ahash_similarity,dhash_similarity,palette_similarity,repeatability_score,baseline_group,baseline_score,lift,lift_pct
Sade_(Smooth_Operator),10,26.978,5.276,29.2,4.756,0.7736,0.1441,0.5785,0.5437,0.7736,60.36,ALL,51.970000,8.390000,16.14%
Claude_Debussy__Clair_de_Lune,10,28.467,5.168,30.067,5.479,0.68,0.1289,0.5552,0.5302,0.68,57.02,ALL,51.970000,5.050000,9.72%
Smells_Like_Teen_Spirit,10,30.067,5.127,31.222,4.977,0.726,0.1607,0.5302,0.5122,0.726,56.22,ALL,51.970000,4.250000,8.18%
The_4_Seasons_(Spring)_I__Allegro,10,31.867,5.426,31.511,6.594,0.6074,0.1471,0.5021,0.5076,0.6074,52.54,ALL,51.970000,0.570000,1.10%
Papaoutai,10,30.067,5.933,33.356,5.201,0.6039,0.1152,0.5302,0.4788,0.6039,52.44,ALL,51.970000,0.470000,0.90%
Walking_On_Sunshine,10,30.844,6.259,31.733,5.163,0.5222,0.1495,0.5181,0.5042,0.5222,51.33,ALL,51.970000,-0.640000,-1.23%
Billig_jeans_(feat__Linni),10,31.044,6.688,32.711,5.934,0.557,0.1767,0.5149,0.4889,0.557,51.29,ALL,51.970000,-0.680000,-1.31%
Jolene_(feat__Dolly_Parton),10,29.778,6.498,32.311,5.351,0.4985,0.1571,0.5347,0.4951,0.4985,51.16,ALL,51.970000,-0.810000,-1.56%
Blinding_Lights,10,30.244,6.027,31.044,4.552,0.4575,0.2214,0.5274,0.5149,0.4575,50.85,ALL,51.970000,-1.120000,-2.16%
One_More_Time,10,28.4,5.848,32.311,4.972,0.4246,0.2158,0.5563,0.4951,0.4246,50.55,ALL,51.970000,-1.420000,-2.73%
