group,n_images,ahash_mean_hamming,ahash_sd,dhash_mean_hamming,dhash_sd,palette_cosine_mean,palette_cosine_sd,ahash_similarity,dhash_similarity,palette_similarity,repeatability_score,baseline_group,baseline_score,lift,lift_pct
Claude_Debussy__Clair_de_Lune,10,29.933,4.974,30.978,4.33,0.8198,0.105,0.5323,0.516,0.8198,58.33,ALL,53.170000,5.160000,9.70%
Smells_Like_Teen_Spirit,10,29.511,5.155,30.4,4.614,0.7785,0.1034,0.5389,0.525,0.7785,58.13,ALL,53.170000,4.960000,9.33%
The_4_Seasons_(Spring)_I__Allegro,10,29.511,6.211,31.311,3.976,0.6572,0.1116,0.5389,0.5108,0.6572,55.13,ALL,53.170000,1.960000,3.69%
Billig_jeans_(feat__Linni),10,29.244,6.719,30.622,4.979,0.618,0.1481,0.5431,0.5215,0.618,54.94,ALL,53.170000,1.770000,3.33%
Jolene_(feat__Dolly_Parton),10,29.244,5.507,30.822,4.569,0.5896,0.1696,0.5431,0.5184,0.5896,54.25,ALL,53.170000,1.080000,2.03%
Sade_(Smooth_Operator),10,31.733,5.825,32.289,4.546,0.6531,0.146,0.5042,0.4955,0.6531,53.05,ALL,53.170000,-0.120000,-0.23%
One_More_Time,10,32.044,6.523,32.711,4.874,0.633,0.136,0.4993,0.4889,0.633,52.19,ALL,53.170000,-0.980000,-1.84%
Walking_On_Sunshine,10,32.0,5.551,32.511,3.946,0.616,0.1268,0.5,0.492,0.616,52.0,ALL,53.170000,-1.170000,-2.20%
Blinding_Lights,10,29.511,5.48,31.422,6.092,0.5021,0.1433,0.5389,0.509,0.5021,51.96,ALL,53.170000,-1.210000,-2.28%
Papaoutai,10,32.111,6.39,33.4,4.721,0.4946,0.2033,0.4983,0.4781,0.4946,48.95,ALL,53.170000,-4.220000,-7.94%
