group,n_images,ahash_mean_hamming,ahash_sd,dhash_mean_hamming,dhash_sd,palette_cosine_mean,palette_cosine_sd,ahash_similarity,dhash_similarity,palette_similarity,repeatability_score,phash_mean_hamming,phash_sd,phash_similarity,baseline_group,baseline_score,lift,lift_pct
Billig_jeans_(feat__Linni),10,26.689,5.248,29.911,4.512,0.7769,0.0914,0.583,0.5326,0.7769,58.83,29.289,4.093,0.5424,ALL,55.240000,3.590000,6.50%
Sade_(Smooth_Operator),10,27.889,6.551,29.533,5.375,0.8468,0.0785,0.5642,0.5385,0.8468,58.55,30.933,5.083,0.5167,ALL,55.240000,3.310000,5.99%
One_More_Time,10,28.489,6.434,29.133,4.176,0.775,0.0816,0.5549,0.5448,0.775,58.49,28.333,3.885,0.5573,ALL,55.240000,3.250000,5.88%
Smells_Like_Teen_Spirit,10,27.622,8.397,30.711,4.093,0.7821,0.0787,0.5684,0.5201,0.7821,58.11,29.311,4.306,0.542,ALL,55.240000,2.870000,5.20%
Papaoutai,10,28.867,5.442,30.689,3.777,0.7684,0.0862,0.549,0.5205,0.7684,56.61,30.689,3.489,0.5205,ALL,55.240000,1.370000,2.48%
Blinding_Lights,10,30.356,4.184,30.044,4.622,0.8023,0.1135,0.5257,0.5306,0.8023,56.25,31.2,3.628,0.5125,ALL,55.240000,1.010000,1.83%
Walking_On_Sunshine,10,26.667,4.899,29.756,5.245,0.5677,0.1553,0.5833,0.5351,0.5677,55.86,29.4,4.585,0.5406,ALL,55.240000,0.620000,1.12%
Jolene_(feat__Dolly_Parton),10,28.267,5.754,30.289,4.373,0.677,0.0816,0.5583,0.5267,0.677,55.84,30.533,4.429,0.5229,ALL,55.240000,0.600000,1.09%
The_4_Seasons_(Spring)_I__Allegro,10,29.267,5.512,30.644,4.518,0.636,0.1111,0.5427,0.5212,0.636,54.81,30.022,4.595,0.5309,ALL,55.240000,-0.430000,-0.78%
Claude_Debussy__Clair_de_Lune,10,29.489,4.911,30.178,3.973,0.5318,0.1752,0.5392,0.5285,0.5318,53.29,30.156,4.562,0.5288,ALL,55.240000,-1.950000,-3.53%
