group,n_images,ahash_mean_hamming,ahash_sd,dhash_mean_hamming,dhash_sd,palette_cosine_mean,palette_cosine_sd,ahash_similarity,dhash_similarity,palette_similarity,repeatability_score,phash_mean_hamming,phash_sd,phash_similarity
Sade_(Smooth_Operator),10,26.978,5.276,29.2,4.756,0.7736,0.1441,0.5785,0.5437,0.7736,58.98,29.022,4.525,0.5465
Claude_Debussy__Clair_de_Lune,10,28.467,5.168,30.067,5.479,0.68,0.1289,0.5552,0.5302,0.68,55.73,30.8,4.251,0.5188
Smells_Like_Teen_Spirit,10,30.067,5.127,31.222,4.977,0.726,0.1607,0.5302,0.5122,0.726,54.87,31.333,4.023,0.5104
Papaoutai,10,30.067,5.933,33.356,5.201,0.6039,0.1152,0.5302,0.4788,0.6039,52.63,30.844,3.437,0.5181
The_4_Seasons_(Spring)_I__Allegro,10,31.867,5.426,31.511,6.594,0.6074,0.1471,0.5021,0.5076,0.6074,52.5,30.378,4.239,0.5253
Billig_jeans_(feat__Linni),10,31.044,6.688,32.711,5.934,0.557,0.1767,0.5149,0.4889,0.557,51.91,30.2,3.501,0.5281
Jolene_(feat__Dolly_Parton),10,29.778,6.498,32.311,5.351,0.4985,0.1571,0.5347,0.4951,0.4985,51.8,30.467,3.739,0.524
One_More_Time,10,28.4,5.848,32.311,4.972,0.4246,0.2158,0.5563,0.4951,0.4246,51.55,30.378,3.892,0.5253
Walking_On_Sunshine,10,30.844,6.259,31.733,5.163,0.5222,0.1495,0.5181,0.5042,0.5222,51.44,31.133,4.551,0.5135
Blinding_Lights,10,30.244,6.027,31.044,4.552,0.4575,0.2214,0.5274,0.5149,0.4575,51.2,30.867,3.986,0.5177
ALL,100,29.94,6.169,31.745,5.367,0.5262,0.202,0.5322,0.504,0.5262,52.13,30.834,4.054,0.5182
