group,n_images,ahash_mean_hamming,ahash_sd,dhash_mean_hamming,dhash_sd,palette_cosine_mean,palette_cosine_sd,ahash_similarity,dhash_similarity,palette_similarity,repeatability_score,phash_mean_hamming,phash_sd,phash_similarity
Claude_Debussy__Clair_de_Lune,10,29.933,4.974,30.978,4.33,0.8198,0.105,0.5323,0.516,0.8198,56.98,29.956,3.754,0.5319
Smells_Like_Teen_Spirit,10,29.511,5.155,30.4,4.614,0.7785,0.1034,0.5389,0.525,0.7785,56.67,30.289,4.373,0.5267
The_4_Seasons_(Spring)_I__Allegro,10,29.511,6.211,31.311,3.976,0.6572,0.1116,0.5389,0.5108,0.6572,54.85,29.8,3.847,0.5344
Billig_jeans_(feat__Linni),10,29.244,6.719,30.622,4.979,0.618,0.1481,0.5431,0.5215,0.618,54.22,30.8,4.283,0.5188
Jolene_(feat__Dolly_Parton),10,29.244,5.507,30.822,4.569,0.5896,0.1696,0.5431,0.5184,0.5896,53.64,31.044,4.232,0.5149
Blinding_Lights,10,29.511,5.48,31.422,6.092,0.5021,0.1433,0.5389,0.509,0.5021,52.35,30.356,3.972,0.5257
Sade_(Smooth_Operator),10,31.733,5.825,32.289,4.546,0.6531,0.146,0.5042,0.4955,0.6531,52.22,32.044,3.692,0.4993
One_More_Time,10,32.044,6.523,32.711,4.874,0.633,0.136,0.4993,0.4889,0.633,51.81,31.622,4.589,0.5059
Walking_On_Sunshine,10,32.0,5.551,32.511,3.946,0.616,0.1268,0.5,0.492,0.616,51.78,31.333,4.09,0.5104
Papaoutai,10,32.111,6.39,33.4,4.721,0.4946,0.2033,0.4983,0.4781,0.4946,50.19,30.222,4.237,0.5278
ALL,100,30.269,5.816,31.651,5.125,0.5933,0.1748,0.527,0.5055,0.5933,52.95,30.814,4.14,0.5185
