group,n_images,ahash_mean_hamming,ahash_sd,dhash_mean_hamming,dhash_sd,palette_cosine_mean,palette_cosine_sd,ahash_similarity,dhash_similarity,palette_similarity,repeatability_score,phash_mean_hamming,phash_sd,phash_similarity,baseline_group,baseline_score,lift,lift_pct
Smells_Like_Teen_Spirit,10,25.778,4.636,29.533,4.24,0.7436,0.1072,0.5972,0.5385,0.7436,58.74,29.844,4.306,0.5337,ALL,53.800000,4.940000,9.18%
Sade_(Smooth_Operator),10,28.022,4.929,31.378,4.697,0.738,0.1107,0.5622,0.5097,0.738,56.43,30.644,3.903,0.5212,ALL,53.800000,2.630000,4.89%
Papaoutai,10,28.933,5.136,30.889,5.046,0.6922,0.1159,0.5479,0.5174,0.6922,55.9,29.6,4.835,0.5375,ALL,53.800000,2.100000,3.90%
Billig_jeans_(feat__Linni),10,30.422,6.362,31.489,4.93,0.7761,0.0751,0.5247,0.508,0.7761,55.59,30.667,4.7,0.5208,ALL,53.800000,1.790000,3.33%
One_More_Time,10,28.822,5.051,31.733,3.44,0.672,0.1151,0.5497,0.5042,0.672,54.9,30.711,4.722,0.5201,ALL,53.800000,1.100000,2.04%
Walking_On_Sunshine,10,29.911,4.786,31.444,4.63,0.649,0.133,0.5326,0.5087,0.649,54.03,30.778,3.723,0.5191,ALL,53.800000,0.230000,0.43%
The_4_Seasons_(Spring)_I__Allegro,10,29.044,5.045,30.956,4.532,0.5951,0.1478,0.5462,0.5163,0.5951,53.71,31.2,4.24,0.5125,ALL,53.800000,-0.090000,-0.17%
Claude_Debussy__Clair_de_Lune,10,30.089,4.532,30.422,3.781,0.6473,0.1444,0.5299,0.5247,0.6473,53.62,32.178,3.857,0.4972,ALL,53.800000,-0.180000,-0.33%
Blinding_Lights,10,29.044,5.76,31.756,4.488,0.5843,0.1435,0.5462,0.5038,0.5843,53.11,31.6,4.798,0.5062,ALL,53.800000,-0.690000,-1.28%
Jolene_(feat__Dolly_Parton),10,31.089,4.631,31.578,3.793,0.5762,0.1448,0.5142,0.5066,0.5762,51.88,31.689,4.133,0.5049,ALL,53.800000,-1.920000,-3.57%
