group,n_images,ahash_mean_hamming,ahash_sd,dhash_mean_hamming,dhash_sd,palette_cosine_mean,palette_cosine_sd,ahash_similarity,dhash_similarity,palette_similarity,repeatability_score,baseline_group,baseline_score,lift,lift_pct
Blinding_Lights,10,28.111,5.241,30.867,3.69,0.7636,0.0817,0.5608,0.5177,0.7636,58.41,ALL,53.750000,4.660000,8.67%
Claude_Debussy__Clair_de_Lune,10,31.044,5.947,31.6,5.011,0.7769,0.0895,0.5149,0.5062,0.7769,56.38,ALL,53.750000,2.630000,4.89%
Walking_On_Sunshine,10,28.0,7.447,32.267,6.824,0.667,0.1466,0.5625,0.4958,0.667,55.67,ALL,53.750000,1.920000,3.57%
Smells_Like_Teen_Spirit,10,29.511,6.255,32.156,5.681,0.6742,0.1284,0.5389,0.4976,0.6742,54.94,ALL,53.750000,1.190000,2.21%
Billig_jeans_(feat__Linni),10,30.111,6.763,30.933,6.319,0.6511,0.1614,0.5295,0.5167,0.6511,54.87,ALL,53.750000,1.120000,2.08%
Sade_(Smooth_Operator),10,30.044,6.259,32.489,5.294,0.6482,0.1478,0.5306,0.4924,0.6482,53.88,ALL,53.750000,0.130000,0.24%
Papaoutai,10,32.311,6.067,32.022,4.938,0.6297,0.1518,0.4951,0.4997,0.6297,52.39,ALL,53.750000,-1.360000,-2.53%
Jolene_(feat__Dolly_Parton),10,29.8,6.666,32.222,5.112,0.554,0.207,0.5344,0.4965,0.554,52.32,ALL,53.750000,-1.430000,-2.66%
One_More_Time,10,32.978,6.405,31.733,5.446,0.6096,0.1605,0.4847,0.5042,0.6096,51.75,ALL,53.750000,-2.000000,-3.72%
The_4_Seasons_(Spring)_I__Allegro,10,32.289,6.017,33.422,5.463,0.5985,0.1107,0.4955,0.4778,0.5985,50.9,ALL,53.750000,-2.850000,-5.30%
