group,n_images,ahash_mean_hamming,ahash_sd,dhash_mean_hamming,dhash_sd,palette_cosine_mean,palette_cosine_sd,ahash_similarity,dhash_similarity,palette_similarity,repeatability_score,phash_mean_hamming,phash_sd,phash_similarity,baseline_group,baseline_score,lift,lift_pct
Blinding_Lights,10,28.111,5.241,30.867,3.69,0.7636,0.0817,0.5608,0.5177,0.7636,56.58,31.4,3.208,0.5094,ALL,53.250000,3.330000,6.25%
Smells_Like_Teen_Spirit,10,29.511,6.255,32.156,5.681,0.6742,0.1284,0.5389,0.4976,0.6742,54.92,29.556,3.87,0.5382,ALL,53.250000,1.670000,3.14%
Claude_Debussy__Clair_de_Lune,10,31.044,5.947,31.6,5.011,0.7769,0.0895,0.5149,0.5062,0.7769,54.84,31.511,3.935,0.5076,ALL,53.250000,1.590000,2.99%
Walking_On_Sunshine,10,28.0,7.447,32.267,6.824,0.667,0.1466,0.5625,0.4958,0.667,54.71,31.6,4.413,0.5062,ALL,53.250000,1.460000,2.74%
Billig_jeans_(feat__Linni),10,30.111,6.763,30.933,6.319,0.6511,0.1614,0.5295,0.5167,0.6511,54.07,30.889,5.569,0.5174,ALL,53.250000,0.820000,1.54%
Sade_(Smooth_Operator),10,30.044,6.259,32.489,5.294,0.6482,0.1478,0.5306,0.4924,0.6482,53.26,31.511,4.985,0.5076,ALL,53.250000,0.010000,0.02%
Jolene_(feat__Dolly_Parton),10,29.8,6.666,32.222,5.112,0.554,0.207,0.5344,0.4965,0.554,52.49,30.733,4.18,0.5198,ALL,53.250000,-0.760000,-1.43%
Papaoutai,10,32.311,6.067,32.022,4.938,0.6297,0.1518,0.4951,0.4997,0.6297,51.85,31.6,3.84,0.5062,ALL,53.250000,-1.400000,-2.63%
One_More_Time,10,32.978,6.405,31.733,5.446,0.6096,0.1605,0.4847,0.5042,0.6096,51.47,31.2,3.739,0.5125,ALL,53.250000,-1.780000,-3.34%
The_4_Seasons_(Spring)_I__Allegro,10,32.289,6.017,33.422,5.463,0.5985,0.1107,0.4955,0.4778,0.5985,50.6,32.378,4.13,0.4941,ALL,53.250000,-2.650000,-4.98%
