group,path,width,height,lap_var,hf_ratio,resid_rms,lap_var_scaled,hf_ratio_scaled,resid_rms_scaled,noise_index
ALL,all_images_h2/prompt-frozen_steps-25/Billig_jeans_(feat__Linni)_20250818_201824.png,1024,1024,0.016766,0.01832,0.032723,0.457665,0.855049,0.596957,63.66
ALL,all_images_h2/prompt-frozen_steps-25/Billig_jeans_(feat__Linni)_20250818_201945.png,1024,1024,0.011678,0.012071,0.028199,0.23483,0.452572,0.367972,35.18
ALL,all_images_h2/prompt-frozen_steps-25/Billig_jeans_(feat__Linni)_20250818_202108.png,1024,1024,0.025474,0.017273,0.036903,0.839056,0.787601,0.808483,81.17
ALL,all_images_h2/prompt-frozen_steps-25/Billig_jeans_(feat__Linni)_20250818_202230.png,1024,1024,0.012656,0.009196,0.027274,0.277636,0.267421,0.321163,28.87
ALL,all_images_h2/prompt-frozen_steps-25/Billig_jeans_(feat__Linni)_20250818_202350.png,1024,1024,0.015544,0.013577,0.031338,0.404136,0.54956,0.526842,49.35
ALL,all_images_h2/prompt-frozen_steps-25/Billig_jeans_(feat__Linni)_20250818_202447.png,1024,1024,0.020473,0.010417,0.032257,0.620031,0.346026,0.573333,51.31
ALL,all_images_h2/prompt-frozen_steps-25/Billig_jeans_(feat__Linni)_20250818_202544.png,1024,1024,0.019213,0.0163,0.03366,0.564816,0.724907,0.644365,64.47
ALL,all_images_h2/prompt-frozen_steps-25/Billig_jeans_(feat__Linni)_20250818_202642.png,1024,1024,0.013098,0.009522,0.027297,0.297023,0.288427,0.322328,30.26
ALL,all_images_h2/prompt-frozen_steps-25/Billig_jeans_(feat__Linni)_20250818_202739.png,1024,1024,0.019253,0.010889,0.031844,0.566567,0.376454,0.552422,49.85
ALL,all_images_h2/prompt-frozen_steps-25/Billig_jeans_(feat__Linni)_20250818_202837.png,1024,1024,0.01696,0.013459,0.031169,0.466134,0.541944,0.518305,50.88
ALL,all_images_h2/prompt-frozen_steps-25/Blinding_Lights_20250818_210509.png,1024,1024,0.010502,0.007962,0.026748,0.18331,0.187907,0.294548,22.19
ALL,all_images_h2/prompt-frozen_steps-25/Blinding_Lights_20250818_210631.png,1024,1024,0.015194,0.010598,0.031113,0.388822,0.35771,0.515471,42.07
ALL,all_images_h2/prompt-frozen_steps-25/Blinding_Lights_20250818_210753.png,1024,1024,0.014286,0.009469,0.032799,0.349036,0.284959,0.600769,41.16
ALL,all_images_h2/prompt-frozen_steps-25/Blinding_Lights_20250818_210914.png,1024,1024,0.006875,0.006363,0.023634,0.024457,0.084957,0.136909,8.21
ALL,all_images_h2/prompt-frozen_steps-25/Blinding_Lights_20250818_211037.png,1024,1024,0.009972,0.009013,0.026547,0.160091,0.255646,0.28436,23.34
ALL,all_images_h2/prompt-frozen_steps-25/Blinding_Lights_20250818_211134.png,1024,1024,0.013181,0.022228,0.032863,0.300627,1.0,0.604,63.49
ALL,all_images_h2/prompt-frozen_steps-25/Blinding_Lights_20250818_211232.png,1024,1024,0.009381,0.009032,0.026211,0.134192,0.256839,0.267375,21.95
ALL,all_images_h2/prompt-frozen_steps-25/Blinding_Lights_20250818_211331.png,1024,1024,0.014982,0.007412,0.029039,0.379529,0.152483,0.410458,31.42
ALL,all_images_h2/prompt-frozen_steps-25/Blinding_Lights_20250818_211431.png,1024,1024,0.020593,0.009293,0.033491,0.625289,0.273644,0.635808,51.16
ALL,all_images_h2/prompt-frozen_steps-25/Blinding_Lights_20250818_211533.png,1024,1024,0.011203,0.00938,0.029439,0.213995,0.279246,0.430712,30.8
ALL,all_images_h2/prompt-frozen_steps-25/Claude_Debussy__Clair_de_Lune_20250818_193039.png,1024,1024,0.009778,0.011376,0.027189,0.151609,0.407775,0.316831,29.21
ALL,all_images_h2/prompt-frozen_steps-25/Claude_Debussy__Clair_de_Lune_20250818_193211.png,1024,1024,0.006562,0.007082,0.022022,0.010754,0.131229,0.055349,6.58
