group,n_images,lap_var_mean,lap_var_sd,hf_ratio_mean,hf_ratio_sd,resid_rms_mean,resid_rms_sd,noise_index_mean,noise_index_sd
Billig_jeans_(feat__Linni),10,0.012107,0.003246,0.011263,0.002968,0.02926,0.003255,31.14,23.13
Blinding_Lights,10,0.013963,0.004985,0.012491,0.003646,0.029952,0.004484,40.97,29.84
Claude_Debussy__Clair_de_Lune,10,0.016894,0.005392,0.009659,0.002597,0.03094,0.004152,40.06,27.39
Jolene_(feat__Dolly_Parton),10,0.016253,0.003812,0.010557,0.002428,0.031279,0.00288,42.07,20.79
One_More_Time,10,0.012997,0.007033,0.010882,0.00436,0.029497,0.005933,30.12,29.6
Papaoutai,10,0.019427,0.005818,0.011203,0.001507,0.035167,0.004021,57.91,21.85
Sade_(Smooth_Operator),10,0.014647,0.003693,0.010848,0.002473,0.03014,0.003097,37.09,20.56
Smells_Like_Teen_Spirit,10,0.016419,0.00661,0.009162,0.002329,0.030165,0.005127,36.72,27.21
The_4_Seasons_(Spring)_I__Allegro,10,0.014401,0.005154,0.010565,0.002766,0.029985,0.004551,34.94,28.97
Walking_On_Sunshine,10,0.017441,0.003929,0.013692,0.004741,0.034044,0.003951,58.86,26.3
ALL,100,0.015455,0.005319,0.011032,0.003227,0.031043,0.004465,40.99,26.37
