group,n_images,ahash_mean_hamming,ahash_sd,dhash_mean_hamming,dhash_sd,palette_cosine_mean,palette_cosine_sd,ahash_similarity,dhash_similarity,palette_similarity,repeatability_score,phash_mean_hamming,phash_sd,phash_similarity
Sade_(Smooth_Operator),10,28.4,6.232,30.489,5.611,0.7719,0.1403,0.5563,0.5236,0.7719,56.88,30.933,4.545,0.5167
Papaoutai,10,28.756,6.132,31.156,5.452,0.7101,0.1048,0.5507,0.5132,0.7101,55.62,30.822,3.927,0.5184
Billig_jeans_(feat__Linni),10,29.711,4.434,32.222,4.028,0.7409,0.1272,0.5358,0.4965,0.7409,54.59,32.133,4.099,0.4979
Smells_Like_Teen_Spirit,10,31.778,5.287,32.689,4.738,0.7822,0.0908,0.5035,0.4892,0.7822,54.1,31.6,4.266,0.5062
Claude_Debussy__Clair_de_Lune,10,31.244,5.059,30.156,4.317,0.7017,0.1288,0.5118,0.5288,0.7017,54.06,31.689,3.884,0.5049
The_4_Seasons_(Spring)_I__Allegro,10,30.044,5.444,29.511,4.674,0.6247,0.1678,0.5306,0.5389,0.6247,53.95,31.444,4.165,0.5087
One_More_Time,10,30.778,5.355,31.8,4.688,0.6963,0.1481,0.5191,0.5031,0.6963,53.82,31.4,3.493,0.5094
Blinding_Lights,10,31.156,3.896,31.733,3.945,0.6237,0.1658,0.5132,0.5042,0.6237,52.81,30.911,4.379,0.517
Jolene_(feat__Dolly_Parton),10,32.422,4.535,31.556,4.377,0.6424,0.1769,0.4934,0.5069,0.6424,51.85,32.222,3.735,0.4965
Walking_On_Sunshine,10,31.111,4.339,31.533,4.531,0.5588,0.185,0.5139,0.5073,0.5588,51.73,31.467,3.653,0.5083
ALL,100,30.755,5.393,31.016,4.565,0.6186,0.1919,0.5194,0.5154,0.6186,53.09,31.162,4.04,0.5131
